Function Name,Category,Radare2,Ghidra,Angr_Fast,Angr_Emul
bfd_decode_symclass,High-Level,✓,✗,✗,✗
bfd_default_scan,High-Level,✓,✗,✗,✗
bfd_delete_bfd,High-Level,✓,✗,✓,✓
bfd_demangle,High-Level,✓,✗,✗,✗
bfd_doprnt,High-Level,✓,✗,✗,✓
bfd_doprnt_scan,High-Level,✓,✗,✗,✓
bfd_dummy_target,High-Level,✓,✗,✗,✗
bfd_dwarf1_cleanup_debug_info,High-Level,✓,✗,✗,✗
bfd_dwarf2_cleanup_debug_info,High-Level,✓,✗,✗,✗
bfd_dwarf2_slurp_debug_info,High-Level,✓,✗,✗,✗
bfd_elf32_core_file_matches_executable_p,High-Level,✓,✗,✗,✗
bfd_elf32_core_file_p,High-Level,✓,✗,✗,✗
bfd_elf32_object_p,High-Level,✓,✗,✗,✗
bfd_elf32_write_out_phdrs,High-Level,✓,✗,✗,✗
bfd_elf32_write_relocs,High-Level,✓,✗,✗,✗
bfd_elf32_write_shdrs_and_ehdr,High-Level,✓,✗,✗,✗
bfd_elf64_core_file_matches_executable_p,High-Level,✓,✗,✗,✗
bfd_elf64_core_file_p,High-Level,✓,✗,✗,✗
bfd_elf64_object_p,High-Level,✓,✗,✗,✗
bfd_elf64_write_out_phdrs,High-Level,✓,✗,✗,✗
bfd_elf64_write_relocs,High-Level,✓,✗,✗,✗
bfd_elf64_write_shdrs_and_ehdr,High-Level,✓,✗,✗,✗
bfd_elf_assign_file_position_for_section,High-Level,✓,✗,✗,✗
bfd_elf_attr_strdup,High-Level,✓,✗,✗,✗
bfd_elf_compute_section_file_positions,High-Level,✓,✗,✗,✗
bfd_elf_discard_info,High-Level,✓,✗,✗,✗
bfd_elf_final_link,High-Level,✓,✗,✗,✗
bfd_elf_final_write_processing,High-Level,✓,✗,✗,✗
bfd_elf_find_line,High-Level,✓,✗,✗,✗
bfd_elf_gc_keep,High-Level,✓,✗,✗,✗
bfd_elf_gc_mark,High-Level,✓,✗,✗,✗
bfd_elf_gc_mark_fdes,High-Level,✓,✗,✗,✗
bfd_elf_gc_mark_rsec,High-Level,✓,✗,✗,✗
bfd_elf_gc_sections,High-Level,✓,✗,✗,✗
bfd_elf_get_elf_syms,High-Level,✓,✗,✗,✗
bfd_elf_get_lineno,High-Level,✓,✗,✗,✗
bfd_elf_get_property,High-Level,✓,✗,✗,✗
bfd_elf_gnu_hash,High-Level,✓,✗,✗,✗
bfd_elf_hash,High-Level,✓,✗,✗,✗
bfd_elf_init_1_index_section,High-Level,✓,✗,✗,✗
bfd_elf_init_2_index_sections,High-Level,✓,✗,✗,✗
bfd_elf_init_file_header,High-Level,✓,✗,✗,✗
bfd_elf_init_private_section_data,High-Level,✓,✗,✗,✗
bfd_elf_init_reloc_shdr,High-Level,✓,✗,✗,✗
bfd_elf_link_hash_table_init,High-Level,✓,✗,✗,✗
bfd_elf_link_info_read_relocs,High-Level,✓,✗,✗,✗
bfd_elf_link_output_relocs,High-Level,✓,✗,✗,✗
bfd_elf_link_setup_gnu_properties,High-Level,✓,✗,✗,✗
bfd_elf_make_object,High-Level,✓,✗,✗,✗
bfd_elf_mkcorefile,High-Level,✓,✗,✗,✗
bfd_elf_parse_attributes,High-Level,✓,✗,✗,✗
bfd_elf_parse_eh_frame,High-Level,✓,✗,✗,✗
bfd_elf_parse_eh_frame_entries,High-Level,✓,✗,✗,✗
bfd_elf_parse_eh_frame_entry,High-Level,✓,✗,✗,✗
bfd_elf_parse_gnu_properties,High-Level,✓,✗,✗,✗
bfd_elf_parse_sframe,High-Level,✓,✗,✗,✗
bfd_elf_print_private_bfd_data,High-Level,✓,✗,✗,✗
bfd_elf_print_symbol,High-Level,✓,✗,✗,✗
bfd_elf_readonly_dynrelocs,High-Level,✓,✗,✗,✗
bfd_elf_section_already_linked,High-Level,✓,✗,✗,✗
bfd_elf_setup_sections,High-Level,✓,✗,✗,✗
bfd_elf_strtab_add,High-Level,✓,✗,✗,✗
bfd_elf_strtab_emit,High-Level,✓,✗,✗,✗
bfd_elf_strtab_free,High-Level,✓,✗,✗,✗
bfd_elf_strtab_init,High-Level,✓,✗,✗,✗
bfd_elf_strtab_save,High-Level,✓,✗,✗,✗
bfd_elf_strtab_size,High-Level,✓,✗,✗,✗
bfd_elf_strtab_str,High-Level,✓,✗,✗,✗
bfd_elf_sym_name,High-Level,✓,✗,✗,✗
bfd_elf_tls_setup,High-Level,✓,✗,✗,✗
bfd_elf_write_object_contents,High-Level,✓,✗,✗,✗
bfd_elf_write_secondary_reloc_section,High-Level,✓,✗,✗,✗
bfd_elf_write_section_build_attributes,High-Level,✓,✗,✗,✗
bfd_elf_write_section_eh_frame,High-Level,✓,✗,✗,✗
bfd_elf_write_section_eh_frame_entry,High-Level,✓,✗,✗,✗
bfd_elf_write_section_eh_frame_hdr,High-Level,✓,✗,✗,✗
bfd_elf_write_section_sframe,High-Level,✓,✗,✗,✗
bfd_elfcore_strndup,High-Level,✓,✗,✗,✗
bfd_errmsg,High-Level,✓,✓,✓,✓
bfd_error,High-Level,✓,✗,✗,✗
bfd_error_handler,High-Level,✓,✗,✗,✗
bfd_fatal,High-Level,✓,✗,✗,✗
bfd_fdopenr,High-Level,✓,✗,✗,✗
bfd_fdopenw,High-Level,✓,✗,✗,✗
bfd_fill_in_gnu_debuglink_section,High-Level,✓,✗,✗,✗
bfd_find_arch_match,High-Level,✓,✗,✗,✗
bfd_find_target,High-Level,✓,✗,✗,✗
bfd_flavour_name,High-Level,✓,✗,✗,✗
bfd_flush,High-Level,✓,✗,✗,✗
bfd_follow_build_id_debuglink,High-Level,✓,✗,✗,✗
bfd_follow_gnu_debugaltlink,High-Level,✓,✗,✗,✗
bfd_follow_gnu_debuglink,High-Level,✓,✗,✗,✗
bfd_fopen,High-Level,✓,✗,✗,✗
bfd_fprintf_vma,High-Level,✓,✗,✗,✗
bfd_free_cached_info,High-Level,✓,✗,✗,✗
bfd_generic_link_read_symbols,High-Level,✓,✗,✗,✗
bfd_generic_openr_next_archived_file,High-Level,✓,✗,✗,✗
bfd_generic_read_ar_hdr_mag,High-Level,✓,✗,✗,✗
bfd_generic_read_minisymbols,High-Level,✓,✗,✗,✗
bfd_generic_section_already_linked,High-Level,✓,✗,✗,✗
bfd_generic_write_ar_hdr,High-Level,✓,✗,✗,✗
bfd_get_alt_debug_link_info,High-Level,✓,✗,✗,✗
bfd_get_arch,High-Level,✓,✗,✗,✗
bfd_get_arch_size,High-Level,✓,✗,✗,✗
bfd_get_archive_filename,High-Level,✓,✗,✗,✗
bfd_get_bits,High-Level,✓,✗,✗,✗
bfd_get_current_time,High-Level,✓,✗,✗,✗
bfd_get_debug_link_info,High-Level,✓,✗,✗,✗
bfd_get_elf_phdrs,High-Level,✓,✗,✗,✗
bfd_get_elt_at_filepos,High-Level,✓,✗,✗,✗
bfd_get_error,High-Level,✓,✓,✓,✓
bfd_get_file_size,High-Level,✓,✗,✗,✗
bfd_get_link_info,High-Level,✓,✗,✗,✗
bfd_get_mach,High-Level,✓,✗,✗,✗
bfd_get_mtime,High-Level,✓,✗,✗,✗
bfd_get_next_mapent,High-Level,✓,✗,✗,✗
bfd_get_size,High-Level,✓,✗,✗,✗
bfd_get_target_info,High-Level,✓,✗,✗,✗
bfd_getb16,High-Level,✓,✗,✗,✗
bfd_getb32,High-Level,✓,✗,✗,✗
bfd_getb64,High-Level,✓,✗,✗,✗
bfd_getl16,High-Level,✓,✗,✗,✗
bfd_getl32,High-Level,✓,✗,✗,✗
bfd_handle_already_linked,High-Level,✓,✗,✗,✗
bfd_hash_allocate,High-Level,✓,✗,✗,✗
bfd_hash_insert,High-Level,✓,✗,✗,✗
bfd_hash_lookup,High-Level,✓,✗,✗,✗
bfd_hash_newfunc,High-Level,✓,✗,✗,✗
bfd_hash_rename,High-Level,✓,✗,✗,✗
bfd_hash_replace,High-Level,✓,✗,✗,✗
bfd_hash_table_free,High-Level,✓,✗,✓,✓
bfd_hash_table_init,High-Level,✓,✗,✗,✗
bfd_hash_table_init_n,High-Level,✓,✗,✗,✗
bfd_hash_traverse,High-Level,✓,✗,✗,✗
bfd_i386_compatible,High-Level,✓,✗,✗,✗
bfd_init,High-Level,✓,✓,✓,✓
bfd_init_pagesize,High-Level,✓,✗,✗,✗
bfd_init_section_compress_status,High-Level,✓,✗,✗,✗
bfd_init_section_decompress_status,High-Level,✓,✗,✗,✗
bfd_is_local_label,High-Level,✓,✗,✗,✗
bfd_link_add_undef,High-Level,✓,✗,✗,✗
bfd_link_hash_lookup,High-Level,✓,✗,✗,✗
bfd_link_hash_table_init,High-Level,✓,✗,✗,✗
bfd_lock,High-Level,✓,✗,✗,✗
bfd_log2,High-Level,✓,✗,✗,✗
bfd_long_bfd_n1_error,High-Level,✓,✗,✗,✗
bfd_make_readable,High-Level,✓,✗,✗,✗
bfd_make_section,High-Level,✓,✗,✗,✗
bfd_make_writable,High-Level,✓,✗,✗,✗
bfd_malloc,High-Level,✓,✗,✓,✓
bfd_merge_sections,High-Level,✓,✗,✗,✗
bfd_mmap,High-Level,✓,✗,✗,✗
bfd_mmap_local,High-Level,✓,✗,✗,✗
bfd_mmap_persistent,High-Level,✓,✗,✗,✗
bfd_mmap_read_temporary,High-Level,✓,✗,✗,✗
bfd_mmap_temporary,High-Level,✓,✗,✗,✗
bfd_munmap_temporary,High-Level,✓,✗,✗,✗
bfd_nearby_section,High-Level,✓,✗,✗,✗
bfd_new_bfd,High-Level,✓,✗,✗,✗
bfd_new_link_order,High-Level,✓,✗,✗,✗
bfd_nocore_core_file_failing_command,High-Level,✓,✗,✗,✗
bfd_nocore_core_file_failing_signal,High-Level,✓,✗,✗,✗
bfd_nocore_core_file_matches_executable_p,High-Level,✓,✗,✗,✗
bfd_nocore_core_file_pid,High-Level,✓,✗,✗,✗
bfd_nonfatal,High-Level,✓,✓,✓,✓
bfd_nonfatal_message,High-Level,✓,✗,✗,✗
bfd_octets_per_byte,High-Level,✓,✗,✗,✗
bfd_open_file,High-Level,✓,✗,✗,✗
bfd_open_file_unlocked,High-Level,✓,✗,✗,✗
bfd_openr,High-Level,✓,✓,✓,✓
bfd_openr_iovec,High-Level,✓,✗,✗,✗
bfd_openr_next_archived_file,High-Level,✓,✗,✗,✗
bfd_openstreamr,High-Level,✓,✗,✗,✗
bfd_openw,High-Level,✓,✗,✗,✗
bfd_pe_only_swap_filehdr_out,High-Level,✓,✗,✗,✗
bfd_pe_print_ce_compressed_pdata,High-Level,✓,✗,✗,✗
bfd_pe_print_private_bfd_data_common,High-Level,✓,✗,✗,✗
bfd_pei_only_swap_filehdr_out,High-Level,✓,✗,✗,✗
bfd_pei_swap_aux_in,High-Level,✓,✗,✗,✗
bfd_pei_swap_aux_out,High-Level,✓,✗,✗,✗
bfd_pei_swap_debugdir_in,High-Level,✓,✗,✗,✗
bfd_pei_swap_debugdir_out,High-Level,✓,✗,✗,✗
bfd_pei_swap_sym_in,High-Level,✓,✗,✗,✗
bfd_pei_swap_sym_out,High-Level,✓,✗,✗,✗
bfd_pei_write_codeview_record,High-Level,✓,✗,✗,✗
bfd_perror,High-Level,✓,✗,✗,✗
bfd_pex64_only_swap_filehdr_out,High-Level,✓,✗,✗,✗
bfd_pex64_print_ce_compressed_pdata,High-Level,✓,✗,✗,✗
bfd_pex64_print_private_bfd_data_common,High-Level,✓,✗,✗,✗
bfd_pex64i_only_swap_filehdr_out,High-Level,✓,✗,✗,✗
bfd_pex64i_swap_debugdir_in,High-Level,✓,✗,✗,✗
bfd_pex64i_swap_debugdir_out,High-Level,✓,✗,✗,✗
bfd_pex64i_write_codeview_record,High-Level,✓,✗,✗,✗
bfd_plugin_bfd_print_private_bfd_data,High-Level,✓,✗,✗,✗
bfd_plugin_close_file_descriptor,High-Level,✓,✗,✗,✗
bfd_plugin_core_file_failing_command,High-Level,✓,✗,✗,✗
bfd_plugin_core_file_failing_signal,High-Level,✓,✗,✗,✗
bfd_plugin_core_file_pid,High-Level,✓,✗,✗,✗
bfd_plugin_object_p,High-Level,✓,✗,✗,✗
bfd_plugin_open_input,High-Level,✓,✗,✗,✗
bfd_plugin_target_p,High-Level,✓,✗,✗,✗
bfd_print_error,High-Level,✓,✗,✗,✗
bfd_print_symbol_vandf,High-Level,✓,✗,✗,✗
bfd_printable_arch_mach,High-Level,✓,✗,✗,✗
bfd_ptr_bfd_null_error,High-Level,✓,✗,✗,✗
bfd_put_bits,High-Level,✓,✗,✗,✗
bfd_putb16,High-Level,✓,✗,✗,✗
bfd_putb32,High-Level,✓,✗,✗,✗
bfd_putb64,High-Level,✓,✗,✗,✗
bfd_putl16,High-Level,✓,✗,✗,✗
bfd_putl32,High-Level,✓,✗,✗,✗
bfd_read,High-Level,✓,✗,✗,✗
bfd_real_fopen,High-Level,✓,✗,✗,✗
bfd_real_fseek,High-Level,✓,✗,✗,✗
bfd_real_ftell,High-Level,✓,✗,✗,✗
bfd_realloc,High-Level,✓,✗,✗,✗
bfd_realloc_or_free,High-Level,✓,✗,✗,✗
bfd_record_phdr,High-Level,✓,✗,✗,✗
bfd_release,High-Level,✓,✗,✗,✗
bfd_rename_section,High-Level,✓,✗,✗,✗
bfd_restore_error_handler_caching,High-Level,✓,✗,✗,✗
bfd_safe_read_leb128,High-Level,✓,✗,✗,✗
bfd_scan_arch,High-Level,✓,✗,✗,✗
bfd_scan_vma,High-Level,✓,✗,✗,✗
bfd_section_already_linked_table_insert,High-Level,✓,✗,✗,✗
bfd_section_already_linked_table_lookup,High-Level,✓,✗,✗,✗
bfd_section_init,High-Level,✓,✗,✗,✗
bfd_sections_find_if,High-Level,✓,✗,✗,✗
bfd_seek,High-Level,✓,✗,✗,✗
bfd_set_error,High-Level,✓,✗,✓,✓
bfd_set_error_handler,High-Level,✓,✗,✗,✗
bfd_set_error_handler_caching,High-Level,✓,✗,✗,✗
bfd_set_error_program_name,High-Level,✓,✓,✓,✓
bfd_set_file_flags,High-Level,✓,✗,✗,✗
bfd_set_filename,High-Level,✓,✗,✗,✗
bfd_set_format,High-Level,✓,✗,✗,✗
bfd_set_gp_value,High-Level,✓,✗,✗,✗
bfd_set_input_error,High-Level,✓,✗,✗,✗
bfd_set_lto_type,High-Level,✓,✗,✗,✗
bfd_set_section_size,High-Level,✓,✗,✗,✗
bfd_set_symtab,High-Level,✓,✗,✗,✗
bfd_slurp_armap,High-Level,✓,✗,✗,✗
bfd_sprintf_vma,High-Level,✓,✗,✗,✗
bfd_stab_cleanup,High-Level,✓,✗,✗,✗
bfd_stat,High-Level,✓,✗,✗,✗
bfd_stringtab_add,High-Level,✓,✗,✗,✗
bfd_stringtab_emit,High-Level,✓,✗,✗,✗
bfd_stringtab_free,High-Level,✓,✗,✗,✗
bfd_stringtab_init,High-Level,✓,✗,✗,✗
bfd_stringtab_size,High-Level,✓,✗,✗,✗
bfd_symbol_info,High-Level,✓,✗,✗,✗
bfd_target_list,High-Level,✓,✗,✓,✓
bfd_tell,High-Level,✓,✗,✗,✗
bfd_thread_cleanup,High-Level,✓,✗,✗,✗
bfd_unlock,High-Level,✓,✗,✗,✗
bfd_write,High-Level,✓,✗,✗,✗
bfd_write_archive_contents,High-Level,✓,✗,✗,✗
bfd_write_bigendian_4byte_int,High-Level,✓,✗,✗,✗
bfd_write_merged_section,High-Level,✓,✗,✗,✗
bfd_write_section_stabs,High-Level,✓,✗,✗,✗
bfd_write_stab_strings,High-Level,✓,✗,✗,✗
bfd_x86_elf_link_report_tls_transition_error,High-Level,✓,✗,✗,✗
bfd_x86_elf_link_setup_gnu_properties,High-Level,✓,✗,✗,✗
bfd_x86_elf_parse_gnu_properties,High-Level,✓,✗,✗,✗
bfd_x86_elf_write_sframe_plt,High-Level,✓,✗,✗,✗
bfd_xalloc,High-Level,✓,✗,✗,✗
bfd_xcoff_stringtab_init,High-Level,✓,✗,✗,✗
bfd_zalloc,High-Level,✓,✗,✗,✗
bfd_zmalloc,High-Level,✓,✗,✗,✗
bi_windup,High-Level,✓,✗,✗,✗
binary_object_p,High-Level,✓,✗,✗,✗
bindtextdomain,High-Level,✗,✓,✓,✓
build_tree,High-Level,✓,✗,✗,✗
buildargv,High-Level,✓,✗,✓,✓
buy_and_read,High-Level,✓,✗,✗,✗
cache_bclose,High-Level,✓,✗,✗,✗
cache_bflush,High-Level,✓,✗,✗,✗
cache_bmmap,High-Level,✓,✗,✗,✗
cache_bread,High-Level,✓,✗,✗,✗
cache_bseek,High-Level,✓,✗,✗,✗
cache_bstat,High-Level,✓,✗,✗,✗
cache_btell,High-Level,✓,✗,✗,✗
cache_bwrite,High-Level,✓,✗,✗,✗
calloc,High-Level,✗,✗,✗,✓
canonical_filename_eq,High-Level,✓,✗,✗,✗
check_build_id_file,High-Level,✓,✗,✗,✗
check_dynsym,High-Level,✓,✗,✗,✗
check_for_relocs,High-Level,✓,✗,✗,✗
chmod,High-Level,✗,✗,✓,✓
choose_tmpdir,High-Level,✓,✗,✗,✗
cie_eq,High-Level,✓,✗,✗,✗
close_one,High-Level,✓,✗,✗,✗
coff_amd64_reloc,High-Level,✓,✗,✗,✗
coff_bfd_make_debug_symbol,High-Level,✓,✗,✗,✗
coff_bigobj_swap_filehdr_in,High-Level,✓,✗,✗,✗
coff_bigobj_swap_filehdr_out,High-Level,✓,✗,✗,✗
coff_classify_symbol,High-Level,✓,✗,✗,✗
coff_compute_section_file_positions,High-Level,✓,✗,✗,✗
coff_get_symbol_info,High-Level,✓,✗,✗,✗
coff_i386_reloc,High-Level,✓,✗,✗,✗
coff_mangle_symbols,High-Level,✓,✗,✗,✗
coff_object_cleanup,High-Level,✓,✗,✗,✗
coff_object_p,High-Level,✓,✗,✗,✗
coff_print_aux,High-Level,✓,✗,✗,✗
coff_print_symbol,High-Level,✓,✗,✗,✗
coff_real_object_p,High-Level,✓,✗,✗,✗
coff_set_arch_mach,High-Level,✓,✗,✗,✗
coff_swap_filehdr_in,High-Level,✓,✗,✗,✗
coff_swap_reloc_in,High-Level,✓,✗,✗,✗
coff_swap_reloc_out,High-Level,✓,✗,✗,✗
coff_swap_scnhdr_in,High-Level,✓,✗,✗,✗
coff_write_alien_symbol,High-Level,✓,✗,✗,✗
coff_write_auxent_fname,High-Level,✓,✗,✗,✗
coff_write_linenumbers,High-Level,✓,✗,✗,✗
coff_write_object_contents,High-Level,✓,✗,✗,✗
coff_write_symbol,High-Level,✓,✗,✗,✗
coff_write_symbols,High-Level,✓,✗,✗,✗
comdat_delf,High-Level,✓,✗,✗,✗
comp_unit_find_line,High-Level,✓,✗,✗,✗
compress,High-Level,✓,✗,✗,✗
compress2,High-Level,✓,✗,✗,✗
compressBound,High-Level,✓,✗,✗,✗
compress_block,High-Level,✓,✗,✗,✗
compute_bucket_count,High-Level,✓,✗,✗,✗
concat,High-Level,✓,✗,✗,✗
concat_copy,High-Level,✓,✗,✗,✗
concat_copy2,High-Level,✓,✗,✗,✗
concat_filename,High-Level,✓,✗,✗,✗
concat_length,High-Level,✓,✗,✗,✗
copy_name,High-Level,✓,✗,✗,✗
core_file_matches_executable_p,High-Level,✓,✗,✗,✗
cplus_demangle,High-Level,✓,✗,✗,✗
cplus_demangle_print,High-Level,✓,✗,✗,✗
cplus_demangle_print_callback,High-Level,✓,✗,✗,✗
cplus_demangle_type,High-Level,✓,✗,✗,✗
cplus_demangle_v3,High-Level,✓,✗,✗,✗
crc32,High-Level,✓,✗,✗,✗
crc32_combine,High-Level,✓,✗,✗,✗
crc32_combine64,High-Level,✓,✗,✗,✗
crc32_combine_gen,High-Level,✓,✗,✗,✗
crc32_combine_gen64,High-Level,✓,✗,✗,✗
d_append_char,High-Level,✓,✗,✗,✗
d_append_num,High-Level,✓,✗,✗,✗
d_append_string,High-Level,✓,✗,✗,✗
d_bare_function_type,High-Level,✓,✗,✗,✗
d_call_offset,High-Level,✓,✗,✗,✗
d_cv_qualifiers,High-Level,✓,✗,✗,✗
d_demangle_callback,High-Level,✓,✗,✗,✗
d_discriminator,High-Level,✓,✗,✗,✗
d_encoding,High-Level,✓,✗,✗,✗
d_expr_primary,High-Level,✓,✗,✗,✗
d_expression,High-Level,✓,✗,✗,✗
d_exprlist,High-Level,✓,✗,✗,✗
d_find_pack,High-Level,✓,✗,✗,✗
d_function_type,High-Level,✓,✗,✗,✗
d_make_comp,High-Level,✓,✗,✗,✗
d_make_name,High-Level,✓,✗,✗,✗
d_maybe_module_name,High-Level,✓,✗,✗,✗
d_maybe_print_designated_init,High-Level,✓,✗,✗,✗
d_maybe_print_fold_expression,High-Level,✓,✗,✗,✗
d_name,High-Level,✓,✗,✗,✗
d_number,High-Level,✓,✗,✗,✗
d_operator_name,High-Level,✓,✗,✗,✗
d_pack_length,High-Level,✓,✗,✗,✗
d_parmlist,High-Level,✓,✗,✗,✗
d_prefix,High-Level,✓,✗,✗,✗
d_print_array_type,High-Level,✓,✗,✗,✗
d_print_comp,High-Level,✓,✗,✗,✗
d_print_comp_inner,High-Level,✓,✗,✗,✗
d_print_expr_op,High-Level,✓,✗,✗,✗
d_print_function_type,High-Level,✓,✗,✗,✗
d_print_lambda_parm_name,High-Level,✓,✗,✗,✗
d_print_mod,High-Level,✓,✗,✗,✗
d_print_mod_list,High-Level,✓,✗,✗,✗
d_print_subexpr,High-Level,✓,✗,✗,✗
d_ref_qualifier,High-Level,✓,✗,✗,✗
d_source_name,High-Level,✓,✗,✗,✗
d_special_name,High-Level,✓,✗,✗,✗
d_substitution,High-Level,✓,✗,✗,✗
d_template_arg,High-Level,✓,✗,✗,✗
d_template_args,High-Level,✓,✗,✗,✗
d_template_head,High-Level,✓,✗,✗,✗
d_template_param,High-Level,✓,✗,✗,✗
d_template_parm,High-Level,✓,✗,✗,✗
d_unqualified_name,High-Level,✓,✗,✗,✗
dcgettext,High-Level,✗,✓,✓,✓
debug_printf,High-Level,✓,✗,✗,✗
decompress_contents,High-Level,✓,✗,✗,✗
deflate,High-Level,✓,✗,✗,✗
deflateBound,High-Level,✓,✗,✗,✗
deflateCopy,High-Level,✓,✗,✗,✗
deflateEnd,High-Level,✓,✗,✗,✗
deflateGetDictionary,High-Level,✓,✗,✗,✗
deflateInit2_,High-Level,✓,✗,✗,✗
deflateInit_,High-Level,✓,✗,✗,✗
deflateParams,High-Level,✓,✗,✗,✗
deflatePending,High-Level,✓,✗,✗,✗
deflatePrime,High-Level,✓,✗,✗,✗
deflateReset,High-Level,✓,✗,✗,✗
deflateResetKeep,High-Level,✓,✗,✗,✗
deflateSetDictionary,High-Level,✓,✗,✗,✗
deflateSetHeader,High-Level,✓,✗,✗,✗
deflateStateCheck,High-Level,✓,✗,✗,✗
deflateTune,High-Level,✓,✗,✗,✗
deflate_fast,High-Level,✓,✗,✗,✗
deflate_slow,High-Level,✓,✗,✗,✗
deflate_stored,High-Level,✓,✗,✗,✗
del_abbrev,High-Level,✓,✗,✗,✗
demangle_binder,High-Level,✓,✗,✗,✗
demangle_const,High-Level,✓,✗,✗,✗
demangle_const_uint,High-Level,✓,✗,✗,✗
demangle_generic_arg,High-Level,✓,✗,✗,✗
demangle_path,High-Level,✓,✗,✗,✗
demangle_type,High-Level,✓,✗,✗,✗
deregister_tm_clones,High-Level,✓,✗,✗,✗
display_info,High-Level,✓,✗,✗,✗
display_utf8_char,High-Level,✓,✗,✓,✓
dlang_decode_backref,High-Level,✓,✗,✗,✗
dlang_demangle,High-Level,✓,✗,✗,✗
dlang_function_type,High-Level,✓,✗,✗,✗
dlang_identifier,High-Level,✓,✗,✗,✗
dlang_lname,High-Level,✓,✗,✗,✗
dlang_number,High-Level,✓,✗,✗,✗
dlang_parse_integer,High-Level,✓,✗,✗,✗
dlang_parse_mangle,High-Level,✓,✗,✗,✗
dlang_parse_qualified,High-Level,✓,✗,✗,✗
dlang_parse_real,High-Level,✓,✗,✗,✗
dlang_parse_template,High-Level,✓,✗,✗,✗
dlang_symbol_name_p,High-Level,✓,✗,✗,✗
dlang_type,High-Level,✓,✗,✗,✗
dlang_type_backref,High-Level,✓,✗,✗,✗
dlang_value,High-Level,✓,✗,✗,✗
do_display_target,High-Level,✓,✗,✗,✗
do_slurp_bsd_armap,High-Level,✓,✗,✗,✗
dupargv,High-Level,✓,✗,✓,✓
elf_append_rel,High-Level,✓,✗,✗,✗
elf_append_rela,High-Level,✓,✗,✗,✗
elf_attr_strdup,High-Level,✓,✗,✗,✗
elf_create_symbuf,High-Level,✓,✗,✗,✗
elf_fake_sections,High-Level,✓,✗,✗,✗
elf_final_link_free,High-Level,✓,✗,✗,✗
